Timestamp,PlaybackTime,UnitQuaternion.x,UnitQuaternion.y,UnitQuaternion.z,UnitQuaternion.w,HmdPosition.x,HmdPosition.y,HmdPosition.z
2016-12-01 05:30:35.920,0.021,-0.074,0.932,0.027,-0.354,0.261,1.059,-0.046
2016-12-01 05:30:35.931,0.021,-0.074,0.932,0.027,-0.353,0.261,1.059,-0.046
2016-12-01 05:30:35.942,0.043,-0.074,0.932,0.027,-0.353,0.261,1.059,-0.046
2016-12-01 05:30:35.953,0.043,-0.073,0.932,0.027,-0.353,0.261,1.059,-0.046
2016-12-01 05:30:35.965,0.064,-0.073,0.932,0.027,-0.353,0.261,1.059,-0.046
2016-12-01 05:30:35.976,0.085,-0.073,0.932,0.027,-0.353,0.261,1.059,-0.046
2016-12-01 05:30:35.987,0.085,-0.073,0.932,0.027,-0.354,0.260,1.059,-0.046
2016-12-01 05:30:35.998,0.107,-0.073,0.932,0.027,-0.354,0.260,1.059,-0.046
2016-12-01 05:30:36.010,0.033,-0.073,0.932,0.027,-0.354,0.260,1.059,-0.046
2016-12-01 05:30:36.020,0.055,-0.073,0.932,0.027,-0.354,0.260,1.059,-0.046
2016-12-01 05:30:36.031,0.055,-0.073,0.932,0.027,-0.354,0.260,1.059,-0.045
2016-12-01 05:30:36.042,0.055,-0.073,0.932,0.027,-0.355,0.260,1.059,-0.045
2016-12-01 05:30:36.053,0.076,-0.073,0.932,0.026,-0.355,0.260,1.059,-0.045
2016-12-01 05:30:36.065,0.097,-0.073,0.932,0.026,-0.355,0.260,1.059,-0.045
2016-12-01 05:30:36.076,0.097,-0.074,0.931,0.027,-0.356,0.260,1.059,-0.045
2016-12-01 05:30:36.087,0.119,-0.074,0.931,0.027,-0.356,0.260,1.059,-0.045
2016-12-01 05:30:36.099,0.119,-0.074,0.931,0.027,-0.356,0.260,1.059,-0.045
2016-12-01 05:30:36.110,0.140,-0.075,0.931,0.027,-0.357,0.260,1.059,-0.045
2016-12-01 05:30:36.121,0.140,-0.075,0.931,0.027,-0.357,0.259,1.059,-0.045
2016-12-01 05:30:36.132,0.161,-0.075,0.930,0.027,-0.358,0.259,1.059,-0.045
2016-12-01 05:30:36.143,0.161,-0.075,0.930,0.027,-0.359,0.259,1.059,-0.045
2016-12-01 05:30:36.154,0.183,-0.076,0.929,0.027,-0.360,0.259,1.059,-0.045
2016-12-01 05:30:36.166,0.204,-0.076,0.929,0.027,-0.362,0.259,1.059,-0.044
2016-12-01 05:30:36.177,0.204,-0.076,0.928,0.026,-0.364,0.259,1.059,-0.044
2016-12-01 05:30:36.188,0.225,-0.076,0.927,0.026,-0.366,0.258,1.059,-0.044
2016-12-01 05:30:36.199,0.225,-0.076,0.926,0.026,-0.368,0.258,1.059,-0.044
2016-12-01 05:30:36.210,0.225,-0.076,0.925,0.025,-0.370,0.258,1.059,-0.044
2016-12-01 05:30:36.221,0.247,-0.075,0.925,0.025,-0.373,0.258,1.059,-0.043
2016-12-01 05:30:36.233,0.247,-0.075,0.924,0.025,-0.375,0.257,1.059,-0.043
2016-12-01 05:30:36.243,0.268,-0.075,0.923,0.024,-0.377,0.257,1.059,-0.043
2016-12-01 05:30:36.255,0.289,-0.075,0.922,0.024,-0.380,0.257,1.059,-0.042
2016-12-01 05:30:36.266,0.289,-0.075,0.921,0.024,-0.382,0.256,1.058,-0.042
2016-12-01 05:30:36.278,0.311,-0.075,0.920,0.023,-0.384,0.256,1.058,-0.042
2016-12-01 05:30:36.289,0.311,-0.075,0.919,0.023,-0.386,0.256,1.058,-0.041
2016-12-01 05:30:36.300,0.332,-0.076,0.918,0.023,-0.388,0.256,1.058,-0.041
2016-12-01 05:30:36.311,0.332,-0.077,0.917,0.022,-0.390,0.256,1.058,-0.041
2016-12-01 05:30:36.322,0.353,-0.077,0.917,0.022,-0.391,0.255,1.058,-0.041
2016-12-01 05:30:36.333,0.353,-0.077,0.916,0.021,-0.392,0.255,1.058,-0.040
2016-12-01 05:30:36.344,0.375,-0.078,0.916,0.020,-0.393,0.255,1.058,-0.040
2016-12-01 05:30:36.356,0.375,-0.078,0.916,0.020,-0.393,0.255,1.058,-0.040
2016-12-01 05:30:36.366,0.396,-0.078,0.916,0.019,-0.393,0.255,1.058,-0.040
2016-12-01 05:30:36.378,0.396,-0.078,0.916,0.018,-0.392,0.255,1.058,-0.040
2016-12-01 05:30:36.389,0.417,-0.078,0.917,0.017,-0.391,0.255,1.058,-0.040
2016-12-01 05:30:36.400,0.417,-0.078,0.917,0.016,-0.390,0.255,1.058,-0.040
2016-12-01 05:30:36.411,0.439,-0.078,0.918,0.015,-0.389,0.255,1.057,-0.040
2016-12-01 05:30:36.423,0.439,-0.078,0.918,0.015,-0.387,0.255,1.057,-0.040
2016-12-01 05:30:36.433,0.460,-0.078,0.919,0.014,-0.386,0.255,1.057,-0.040
2016-12-01 05:30:36.444,0.481,-0.079,0.920,0.014,-0.384,0.255,1.057,-0.041
2016-12-01 05:30:36.456,0.481,-0.079,0.920,0.014,-0.383,0.255,1.057,-0.041
2016-12-01 05:30:36.467,0.503,-0.079,0.921,0.013,-0.381,0.255,1.057,-0.041
2016-12-01 05:30:36.479,0.503,-0.079,0.921,0.013,-0.380,0.254,1.057,-0.041
2016-12-01 05:30:36.490,0.524,-0.080,0.922,0.013,-0.379,0.254,1.057,-0.041
2016-12-01 05:30:36.501,0.524,-0.081,0.922,0.012,-0.379,0.254,1.057,-0.041
2016-12-01 05:30:36.512,0.545,-0.081,0.922,0.012,-0.379,0.254,1.057,-0.041
2016-12-01 05:30:36.524,0.545,-0.082,0.922,0.011,-0.379,0.254,1.057,-0.041
2016-12-01 05:30:36.534,0.567,-0.083,0.921,0.011,-0.380,0.254,1.057,-0.040
2016-12-01 05:30:36.545,0.567,-0.083,0.920,0.010,-0.382,0.253,1.056,-0.040
2016-12-01 05:30:36.556,0.588,-0.083,0.919,0.008,-0.385,0.253,1.056,-0.040
2016-12-01 05:30:36.568,0.588,-0.083,0.918,0.007,-0.388,0.252,1.056,-0.040
2016-12-01 05:30:36.579,0.609,-0.083,0.916,0.005,-0.393,0.252,1.056,-0.039
2016-12-01 05:30:36.590,0.609,-0.082,0.913,0.003,-0.399,0.251,1.056,-0.039
2016-12-01 05:30:36.601,0.631,-0.081,0.910,0.001,-0.406,0.251,1.055,-0.038
2016-12-01 05:30:36.612,0.631,-0.080,0.907,-0.002,-0.413,0.250,1.055,-0.037
2016-12-01 05:30:36.623,0.652,-0.080,0.904,-0.004,-0.420,0.249,1.055,-0.036
2016-12-01 05:30:36.635,0.673,-0.079,0.900,-0.007,-0.429,0.248,1.054,-0.035
2016-12-01 05:30:36.646,0.673,-0.078,0.895,-0.009,-0.439,0.247,1.054,-0.035
2016-12-01 05:30:36.657,0.695,-0.077,0.890,-0.013,-0.450,0.246,1.053,-0.033
2016-12-01 05:30:36.668,0.695,-0.076,0.884,-0.016,-0.461,0.245,1.053,-0.032
2016-12-01 05:30:36.679,0.695,-0.074,0.878,-0.020,-0.473,0.244,1.052,-0.031
2016-12-01 05:30:36.690,0.716,-0.073,0.871,-0.024,-0.485,0.242,1.052,-0.029
2016-12-01 05:30:36.702,0.716,-0.071,0.864,-0.026,-0.497,0.241,1.051,-0.028
2016-12-01 05:30:36.713,0.737,0.069,-0.857,0.029,0.509,0.239,1.051,-0.026
2016-12-01 05:30:36.725,0.759,0.067,-0.849,0.032,0.523,0.238,1.050,-0.025
2016-12-01 05:30:36.735,0.759,0.066,-0.841,0.035,0.536,0.236,1.050,-0.023
2016-12-01 05:30:36.746,0.780,0.065,-0.833,0.039,0.549,0.235,1.049,-0.021
2016-12-01 05:30:36.758,0.780,0.064,-0.824,0.045,0.561,0.232,1.050,-0.020
2016-12-01 05:30:36.768,0.801,0.063,-0.815,0.050,0.574,0.231,1.049,-0.018
2016-12-01 05:30:36.780,0.801,0.063,-0.806,0.055,0.585,0.230,1.048,-0.016
2016-12-01 05:30:36.791,0.823,0.062,-0.798,0.059,0.597,0.228,1.048,-0.014
2016-12-01 05:30:36.802,0.823,0.062,-0.789,0.064,0.608,0.226,1.047,-0.013
2016-12-01 05:30:36.813,0.844,0.062,-0.781,0.068,0.618,0.225,1.047,-0.011
2016-12-01 05:30:36.825,0.865,0.063,-0.772,0.072,0.628,0.224,1.046,-0.009
2016-12-01 05:30:36.835,0.865,0.063,-0.765,0.075,0.637,0.222,1.046,-0.007
2016-12-01 05:30:36.847,0.865,0.064,-0.757,0.078,0.645,0.221,1.046,-0.006
2016-12-01 05:30:36.858,0.887,0.065,-0.751,0.080,0.652,0.220,1.045,-0.004
2016-12-01 05:30:36.870,0.887,0.065,-0.745,0.082,0.659,0.218,1.045,-0.003
2016-12-01 05:30:36.880,0.908,0.066,-0.739,0.082,0.666,0.217,1.045,-0.001
2016-12-01 05:30:36.892,0.908,0.066,-0.733,0.082,0.672,0.216,1.045,0.000
2016-12-01 05:30:36.903,0.929,0.067,-0.728,0.082,0.677,0.215,1.045,0.002
2016-12-01 05:30:36.914,0.951,0.068,-0.723,0.082,0.682,0.214,1.045,0.003
2016-12-01 05:30:36.926,0.951,0.069,-0.719,0.083,0.687,0.213,1.044,0.005
2016-12-01 05:30:36.936,0.972,0.070,-0.714,0.084,0.691,0.212,1.044,0.006
2016-12-01 05:30:36.948,0.972,0.072,-0.710,0.084,0.695,0.211,1.044,0.007
2016-12-01 05:30:36.958,0.993,0.075,-0.706,0.084,0.699,0.210,1.044,0.009
2016-12-01 05:30:36.969,0.993,0.078,-0.703,0.083,0.702,0.209,1.043,0.010
2016-12-01 05:30:36.981,1.015,0.081,-0.699,0.082,0.706,0.208,1.043,0.011
2016-12-01 05:30:36.992,1.015,0.083,-0.696,0.081,0.709,0.208,1.043,0.012
2016-12-01 05:30:37.003,1.036,0.086,-0.693,0.081,0.712,0.207,1.043,0.013
2016-12-01 05:30:37.015,1.036,0.088,-0.690,0.080,0.714,0.207,1.043,0.014
2016-12-01 05:30:37.026,1.057,0.091,-0.688,0.080,0.715,0.206,1.043,0.014
2016-12-01 05:30:37.037,1.057,0.093,-0.687,0.080,0.717,0.206,1.043,0.015
2016-12-01 05:30:37.048,1.079,0.094,-0.685,0.079,0.718,0.205,1.042,0.015
